Imagename,Bounding Box,Whale ID
0001f9222.jpg,"[0, 46, 758, 266]",w_c3d896a
00029d126.jpg,"[1, 0, 1050, 497]",w_20df2c5
00050a15a.jpg,"[0, 90, 1050, 418]",new_whale
0005c1ef8.jpg,"[27, 117, 997, 305]",new_whale
000a6daec.jpg,"[0, 0, 1050, 433]",w_dd88965
000f0f2bf.jpg,"[0, 60, 1043, 534]",new_whale
0016b897a.jpg,"[42, 16, 1019, 399]",w_64404ac
001c1ac5f.jpg,"[0, 87, 1000, 443]",w_a6f9d33
001cae55b.jpg,"[0, 18, 1050, 436]",w_581ba42
001d7450c.jpg,"[0, 86, 1050, 499]",new_whale
00200e115.jpg,"[114, 0, 1050, 417]",new_whale
00245a598.jpg,"[60, 54, 960, 373]",new_whale
002b4615d.jpg,"[0, 9, 1050, 473]",new_whale
00357e37a.jpg,"[0, 0, 1050, 347]",w_d3b46e7
0041880bf.jpg,"[5, 0, 671, 377]",new_whale
0043da555.jpg,"[0, 198, 984, 556]",new_whale
00442c882.jpg,"[162, 31, 734, 525]",w_8cad422
00464ff65.jpg,"[0, 122, 1050, 679]",new_whale
004ae9e26.jpg,"[0, 0, 1050, 305]",new_whale
004e8ad5b.jpg,"[20, 93, 1033, 543]",w_3de579a
004f87702.jpg,"[0, 135, 1050, 574]",w_1d0830e
00514c876.jpg,"[100, 20, 789, 290]",w_8dddbee
0052ce2f5.jpg,"[229, 224, 838, 419]",w_2365d55
00537ec91.jpg,"[310, 101, 559, 281]",w_3879fa0
00600ce17.jpg,"[42, 15, 999, 530]",new_whale
006017ddf.jpg,"[0, 0, 1047, 337]",w_8a6a8d5
006500b3d.jpg,"[15, 0, 1012, 283]",w_a8b34a0
0067b3a20.jpg,"[125, 262, 891, 551]",w_c0d11da
006bdc6ff.jpg,"[57, 134, 951, 302]",new_whale
007218187.jpg,"[40, 146, 860, 517]",new_whale
007b62e05.jpg,"[0, 225, 1050, 536]",w_cee684e
007f3eb46.jpg,"[0, 0, 1022, 410]",w_41d24c6
008124524.jpg,"[0, 57, 1040, 247]",w_8a235b6
0084fe40b.jpg,"[0, 0, 662, 226]",w_2e231f4
0085064af.jpg,"[0, 6, 878, 397]",new_whale
0085a6bd0.jpg,"[0, 140, 912, 432]",new_whale
008bf89fc.jpg,"[82, 154, 934, 422]",w_6822dbc
008ebc50d.jpg,"[8, 0, 1033, 405]",w_df86a42
00910010d.jpg,"[244, 263, 605, 470]",w_700ebb4
0093454b6.jpg,"[99, 75, 918, 268]",w_d892cd9
009431af0.jpg,"[254, 56, 655, 603]",w_7a4b2f9
0095fe89c.jpg,"[83, 190, 907, 536]",new_whale
009687166.jpg,"[44, 142, 1020, 456]",w_778e474
0096c8ff3.jpg,"[79, 0, 732, 304]",w_f3252ff
009c45bc7.jpg,"[42, 12, 1012, 540]",w_2df85e7
00a3dd76f.jpg,"[0, 53, 1050, 469]",w_c7cda47
00a4de95e.jpg,"[69, 0, 961, 411]",w_62bb54b
00b7ffb8a.jpg,"[0, 0, 1050, 565]",w_1531bf5
00b92e9bf.jpg,"[0, 59, 699, 326]",w_4e1e04d
00bc4dade.jpg,"[0, 79, 1050, 459]",w_d6ca28d
00c59bce9.jpg,"[25, 197, 982, 364]",w_1260eb5
00caa5c60.jpg,"[41, 47, 962, 589]",w_fccccec
00cf9982e.jpg,"[0, 73, 1050, 501]",w_acd217a
00d07df97.jpg,"[0, 3, 1050, 393]",w_5650932
00d43f154.jpg,"[12, 139, 997, 279]",w_c98aaad
00d6cbcbf.jpg,"[121, 276, 914, 411]",w_6f0cbe3
00d7dc401.jpg,"[94, 0, 922, 486]",w_6cfa650
00d9e8278.jpg,"[13, 102, 844, 350]",w_1ea5d96
00dcd026f.jpg,"[0, 141, 1050, 503]",w_914b110
00de0f4c8.jpg,"[56, 83, 983, 447]",new_whale
00ded1101.jpg,"[0, 77, 1050, 458]",new_whale
00e4afee9.jpg,"[0, 196, 1022, 380]",new_whale
00e68dc59.jpg,"[70, 149, 987, 477]",w_bf33ddf
00e9e5122.jpg,"[38, 204, 865, 403]",w_0369a5c
00ec09075.jpg,"[0, 65, 696, 318]",new_whale
00ec13a19.jpg,"[201, 228, 823, 624]",w_3ff114c
00f0bde81.jpg,"[0, 0, 1050, 358]",w_c896384
00f5927ae.jpg,"[0, 82, 879, 457]",new_whale
00fee3975.jpg,"[302, 256, 750, 403]",w_a9304b9
01043c88f.jpg,"[0, 0, 1045, 376]",w_b44e89d
