image,bounds,score,label
../darknet/build/darknet/x64/data/obj/21686769_1649650445107411_1011942705135423565_o.jpg,[ 740.24713  134.09412 1775.7357   731.6523 ],1,0.9992105
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.05634 655.50775 766.7961  691.1391 ],0,0.93423563
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[846.23535 674.65295 958.9213  708.402  ],0,0.8225339
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[666.05634 655.50775 766.7961  691.1391 ],0,0.93423563
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0006.jpg,[846.23535 674.65295 958.9213  708.402  ],0,0.8225339
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[397.1315  655.53973 599.5825  719.2132 ],0,0.7284523
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[735.17303 703.1261  898.25525 757.7505 ],0,0.5549336
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[397.1315  655.53973 599.5825  719.2132 ],0,0.7284523
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0035.jpg,[735.17303 703.1261  898.25525 757.7505 ],0,0.5549336
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0049.jpg,[701.9791  548.3227  945.27985 623.00183],0,0.6498299
../darknet/build/darknet/x64/data/obj/58460334_2637456916326754_2504379779436773376_o.jpg,[ 318.19067  464.35135 1805.2351   941.7564 ],1,0.9780638
../darknet/build/darknet/x64/data/obj/107753673_10158896654144073_1570110335365435167_n.jpg,[559.5522  200.60657 647.084   246.7974 ],1,0.8531254
../darknet/build/darknet/x64/data/obj/107753673_10158896654144073_1570110335365435167_n.jpg,[559.5522  200.60657 647.084   246.7974 ],1,0.8531254
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0005.jpg,[705.0544  568.6778  836.63257 631.88995],0,0.9678621
../darknet/build/darknet/x64/data/obj/21273651_1630478263691296_6173816560476463869_o.jpg,[1313.192    107.49134 1881.3405   726.30206],1,0.93288696
../darknet/build/darknet/x64/data/obj/99426044_3815699845169116_2016741489140301824_o.jpg,[ 883.3208   487.07422 1256.8977   600.65564],0,0.8573004
../darknet/build/darknet/x64/data/obj/99426044_3815699845169116_2016741489140301824_o.jpg,[592.3723  590.48627 836.12244 698.133  ],0,0.8223405
../darknet/build/darknet/x64/data/obj/99426044_3815699845169116_2016741489140301824_o.jpg,[ 883.3208   487.07422 1256.8977   600.65564],0,0.8573004
../darknet/build/darknet/x64/data/obj/99426044_3815699845169116_2016741489140301824_o.jpg,[592.3723  590.48627 836.12244 698.133  ],0,0.8223405
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0011.jpg,[638.28656 625.842   748.2763  663.06274],0,0.9477154
../darknet/build/darknet/x64/data/obj/22712470_10155616946156488_6458015603788421649_o.jpg,[ 591.38403  488.68152 1062.9712   878.4436 ],1,0.99044013
../darknet/build/darknet/x64/data/obj/71100678_3035251603213948_5235695876923457536_o.jpg,[220.79225 622.4032  783.916   847.1156 ],1,0.9977976
../darknet/build/darknet/x64/data/obj/50802628_10156731120161488_3629435463212728320_o.jpg,[4.3194261e-01 1.5679971e+02 1.2471877e+03 6.4703638e+02],1,0.8757378
../darknet/build/darknet/x64/data/obj/50802628_10156731120161488_3629435463212728320_o.jpg,[423.84363 180.37813 657.6138  247.91212],0,0.6454468
../darknet/build/darknet/x64/data/obj/50802628_10156731120161488_3629435463212728320_o.jpg,[ 128.57878  347.4086  1164.8757   672.46375],1,0.42476812
../darknet/build/darknet/x64/data/obj/50802628_10156731120161488_3629435463212728320_o.jpg,[4.3194261e-01 1.5679971e+02 1.2471877e+03 6.4703638e+02],1,0.8757378
../darknet/build/darknet/x64/data/obj/50802628_10156731120161488_3629435463212728320_o.jpg,[423.84363 180.37813 657.6138  247.91212],0,0.6454468
../darknet/build/darknet/x64/data/obj/50802628_10156731120161488_3629435463212728320_o.jpg,[ 128.57878  347.4086  1164.8757   672.46375],1,0.42476812
../darknet/build/darknet/x64/data/obj/39442406_2128432723895845_4925007632177037312_o.jpg,[1086.6489   282.12308 1554.064    748.6105 ],1,0.9970343
../darknet/build/darknet/x64/data/obj/IMG-20200708-WA0055.jpg,[497.91064 393.18414 994.115   549.7087 ],0,0.97426546
../darknet/build/darknet/x64/data/obj/DSC_0370.JPG,[ 979.1806 1137.593  3735.4258 2065.5151],1,0.93565434
../darknet/build/darknet/x64/data/obj/DSC_0249.JPG,[ 656.2388   879.18866 3598.7515  1978.5203 ],1,0.99797577
../darknet/build/darknet/x64/data/obj/DSC_0358.JPG,[ 549.3998 2004.6884 1904.3993 2315.6702],0,0.730878
../darknet/build/darknet/x64/data/obj/DSC_0383.JPG,[  53.98151 1286.5973  3392.5317  2418.5918 ],0,0.90506876
../darknet/build/darknet/x64/data/obj/DSCN3464.JPG,[1383.4386 1092.7158 3515.2534 1821.9717],1,0.9155469
../darknet/build/darknet/x64/data/obj/P1010896.JPG,[ 973.76935 1335.6582  1851.1438  1615.7666 ],0,0.9519796
../darknet/build/darknet/x64/data/obj/P1010896.JPG,[ 962.5636 1324.3055 2163.248  1691.1094],1,0.40448767
../darknet/build/darknet/x64/data/obj/P1010716.JPG,[1662.5187 2206.2737 2088.86   2452.4253],0,0.63414526
../darknet/build/darknet/x64/data/obj/P1010899.JPG,[ 704.8274 1457.8478 2069.3257 1854.3564],0,0.87552404
../darknet/build/darknet/x64/data/obj/DSCN3463.JPG,[1644.1235  1012.35614 3065.999   1586.1602 ],0,0.8820888
../darknet/build/darknet/x64/data/obj/DSCN3463.JPG,[1322.6879  1002.83246 3062.0308  1850.623  ],1,0.47976902
../darknet/build/darknet/x64/data/obj/DSC_0354.JPG,[1796.611    794.88074 2281.089    963.09766],0,0.9486061
../darknet/build/darknet/x64/data/obj/DSCN3560.JPG,[1356.7804 1712.6986 2888.8118 2074.9612],0,0.8788531
../darknet/build/darknet/x64/data/obj/DSCN3560.JPG,[2106.3694 1721.2428 2833.2234 1963.9069],0,0.6351757
../darknet/build/darknet/x64/data/obj/DSCN3550.JPG,[1937.0073 1807.189  3003.9272 2277.2102],1,0.9790137
../darknet/build/darknet/x64/data/obj/DSCN3378.JPG,[1547.4315 1285.5123 2590.827  1796.8915],1,0.7920825
