image,cat,score,bounds
../data/yolo/DSCN3550.JPG,b'fluke',0.6099266409873962,"(2461.832275390625, 2024.5128173828125, 1031.4798583984375, 421.6963806152344)"
../data/yolo/39442406_2128432723895845_4925007632177037312_o.jpg,b'fluke',0.9985238909721375,"(1306.847412109375, 473.4839782714844, 383.5995178222656, 454.1579284667969)"
../data/yolo/DSC_0249.JPG,b'fluke',0.9996303915977478,"(2045.40283203125, 1412.28564453125, 3010.59521484375, 1140.1212158203125)"
../data/yolo/DSCN3464.JPG,b'fluke',0.9473888874053955,"(2425.445068359375, 1522.972900390625, 2161.155517578125, 808.0430908203125)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.9848731160163879,"(1076.89501953125, 549.3421630859375, 354.8463439941406, 130.30274963378906)"
../data/yolo/99426044_3815699845169116_2016741489140301824_o.jpg,b'fin',0.9066605567932129,"(666.0004272460938, 645.1038818359375, 374.3953857421875, 116.63290405273438)"
../data/yolo/DSC_0354.JPG,b'fin',0.7894361019134521,"(2023.4776611328125, 889.2974853515625, 436.20318603515625, 229.33795166015625)"
../data/yolo/22712470_10155616946156488_6458015603788421649_o.jpg,b'fluke',0.9958587288856506,"(809.5410766601562, 650.130859375, 441.836181640625, 348.0074157714844)"
../data/yolo/DSCN3463.JPG,b'fin',0.9917000532150269,"(2347.8466796875, 1310.1661376953125, 1209.7191162109375, 683.456787109375)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.9012975096702576,"(841.4296875, 724.7099609375, 269.4742431640625, 50.497798919677734)"
../data/yolo/IMG-20200708-WA0035.jpg,b'fin',0.6810910105705261,"(497.9820251464844, 689.4037475585938, 211.48423767089844, 68.4222412109375)"
../data/yolo/DSCN3378.JPG,b'fin',0.7724813222885132,"(1703.5706787109375, 1456.9344482421875, 987.5671997070312, 424.6707763671875)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.9163017868995667,"(900.6598510742188, 656.2709350585938, 95.58199310302734, 29.75970458984375)"
../data/yolo/IMG-20200708-WA0011.jpg,b'fin',0.9014454483985901,"(692.9840087890625, 646.9508666992188, 114.9001693725586, 35.109737396240234)"
../data/yolo/IMG-20200708-WA0055.jpg,b'fin',0.9664211273193359,"(721.0447998046875, 485.20355224609375, 483.01568603515625, 180.8453369140625)"
../data/yolo/P1010896.JPG,b'fin',0.9802433848381042,"(1445.36669921875, 1523.993408203125, 1260.3463134765625, 352.98895263671875)"
../data/yolo/58460334_2637456916326754_2504379779436773376_o.jpg,b'fin',0.8200381994247437,"(1038.0859375, 658.0950927734375, 1538.0909423828125, 339.7588806152344)"
../data/yolo/21686769_1649650445107411_1011942705135423565_o.jpg,b'fluke',0.9010650515556335,"(1236.5040283203125, 454.9958190917969, 901.1438598632812, 641.7381591796875)"
../data/yolo/P1010716.JPG,b'fin',0.6717549562454224,"(1923.816650390625, 2302.99658203125, 452.8565673828125, 242.15846252441406)"
../data/yolo/DSC_0358.JPG,b'fin',0.9943681955337524,"(1240.043701171875, 2158.609619140625, 1195.7486572265625, 293.1190490722656)"
../data/yolo/DSC_0383.JPG,b'fin',0.794998288154602,"(1793.0296630859375, 1819.6201171875, 3475.741943359375, 962.8319702148438)"
../data/yolo/DSC_0370.JPG,b'fluke',0.9699808359146118,"(2348.032470703125, 1611.541015625, 2887.297119140625, 776.6114501953125)"
../data/yolo/107753673_10158896654144073_1570110335365435167_n.jpg,b'fin',0.6399950385093689,"(305.1820373535156, 252.69422912597656, 113.61888885498047, 24.682785034179688)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.8682990670204163,"(721.3865966796875, 678.2525024414062, 124.96086120605469, 32.40214157104492)"
../data/yolo/IMG-20200708-WA0006.jpg,b'fin',0.657296359539032,"(901.8663330078125, 687.0225219726562, 83.58539581298828, 35.00844955444336)"
../data/yolo/IMG-20200708-WA0049.jpg,b'fin',0.5409047603607178,"(811.176025390625, 591.03173828125, 243.0980682373047, 68.79483032226562)"
../data/yolo/DSCN3560.JPG,b'fin',0.887211263179779,"(2023.775390625, 1887.602294921875, 1649.1993408203125, 314.1689453125)"
../data/yolo/21273651_1630478263691296_6173816560476463869_o.jpg,b'fluke',0.8218417167663574,"(1578.0330810546875, 426.1705017089844, 493.4224853515625, 614.3016967773438)"
../data/yolo/P1010899.JPG,b'fin',0.678907573223114,"(1386.14306640625, 1629.4696044921875, 1503.581787109375, 363.1701354980469)"
../data/yolo/P1010899.JPG,b'fin',0.6672515273094177,"(1979.48388671875, 1729.1846923828125, 3212.901611328125, 362.1385192871094)"
../data/yolo/71100678_3035251603213948_5235695876923457536_o.jpg,b'fluke',0.9738256931304932,"(514.8043823242188, 717.9392700195312, 556.196533203125, 357.7327575683594)"
../data/yolo/IMG-20200708-WA0014.jpg,b'fin',0.7494978904724121,"(792.4603271484375, 615.686767578125, 260.6773986816406, 60.31691360473633)"
../data/yolo/DSC_0246.JPG,b'fin',0.9857087135314941,"(2548.511962890625, 1412.6573486328125, 1525.8648681640625, 640.2462768554688)"
